,customer_id,call_failure,complaints,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,age,customer_value,churn
33,33,25,0,31,3,16075,238,0,80,2,contractual,active,25,734.085,False
34,34,6,0,34,3,6965,116,271,33,2,contractual,active,25,1538.145,False
35,35,2,0,36,0,3718,82,2,28,2,Pay as you go,active,25,180.0,False
36,36,3,0,35,0,1665,44,38,20,3,Pay as you go,non-active,30,220.36,False
37,37,6,0,36,0,2780,53,175,23,2,Pay as you go,active,25,914.985,False
38,38,4,0,27,1,1315,36,193,11,2,contractual,active,25,929.295,False
39,39,4,0,26,0,1568,39,30,68,4,Pay as you go,active,45,115.175,False
40,40,11,0,27,0,700,25,10,7,2,Pay as you go,non-active,25,77.625,False
41,41,0,0,26,0,825,10,21,3,4,Pay as you go,non-active,45,73.375,True
42,42,10,0,25,0,1225,32,19,13,2,Pay as you go,active,25,142.065,False
43,43,2,0,25,0,3225,61,8,23,3,Pay as you go,active,30,163.44,False
44,44,2,0,18,0,1695,26,28,14,2,Pay as you go,active,25,203.445,False
45,45,16,0,17,1,6393,141,85,42,2,contractual,active,25,676.53,False
46,46,12,0,15,0,8933,171,73,40,4,Pay as you go,active,45,410.1,False
47,47,8,0,16,3,2853,45,31,19,3,contractual,active,30,239.92,False
48,48,2,0,9,1,4390,40,215,10,3,Pay as you go,active,30,1037.2,False
49,49,3,0,9,1,1488,19,0,7,3,Pay as you go,active,30,60.28,True
50,50,11,0,40,1,4430,74,10,19,3,Pay as you go,active,30,220.16,False
51,51,3,0,41,1,378,8,12,6,3,Pay as you go,active,30,63.44,False
52,52,13,0,39,1,2513,63,364,26,3,Pay as you go,active,30,1559.04,False
53,53,13,0,40,1,4258,69,6,37,1,Pay as you go,active,15,270.985,False
54,54,6,0,40,1,2453,61,7,35,2,Pay as you go,active,25,144.63,False
55,55,14,0,40,2,3835,85,37,30,3,contractual,active,30,304.8,False
56,56,7,0,40,1,2420,42,290,20,3,Pay as you go,active,30,1258.48,False
57,57,16,0,39,3,9175,124,149,45,3,Pay as you go,active,30,967.96,False
58,58,10,0,40,1,13833,172,5,46,3,Pay as you go,active,30,580.2,False
59,59,10,0,40,2,4575,86,7,27,3,Pay as you go,active,30,214.44,False
60,60,9,0,40,1,5978,98,12,14,3,Pay as you go,active,30,291.04,False
61,61,12,0,40,1,2298,57,13,19,3,Pay as you go,active,30,146.2,False
62,62,28,0,40,4,15200,228,59,34,3,Pay as you go,active,30,853.12,False
63,63,7,0,40,2,3155,30,488,10,3,Pay as you go,active,30,2079.4,False
64,64,12,0,39,1,15545,185,155,32,2,Pay as you go,active,25,1405.35,False
65,65,6,0,39,2,6560,89,191,28,3,Pay as you go,active,30,1029.96,False
66,66,3,0,39,1,935,17,5,13,2,Pay as you go,active,25,65.34,False
67,67,5,0,40,1,770,17,18,10,3,Pay as you go,active,30,103.48,False
68,68,3,1,39,1,60,3,5,2,2,Pay as you go,active,25,25.335,True
69,69,6,0,39,1,7568,130,389,45,3,Pay as you go,active,30,1863.92,False
70,70,10,0,39,2,11525,157,16,49,4,contractual,active,45,332.05,False
71,71,11,0,39,2,6778,78,113,39,2,Pay as you go,active,25,817.02,False
72,72,26,1,35,1,1015,50,21,19,3,Pay as you go,active,30,126.6,True
73,73,24,1,38,9,10495,96,6,44,5,contractual,active,55,167.865,False
74,74,16,0,38,2,5878,101,31,26,2,Pay as you go,active,25,408.555,False
75,75,4,0,36,1,2900,25,5,16,3,Pay as you go,active,30,137.0,False
76,76,12,0,37,1,3050,44,14,18,3,Pay as you go,active,30,179.76,True
77,77,12,1,38,1,2328,47,39,33,3,Pay as you go,active,30,251.0,True
78,78,3,0,38,1,193,5,5,4,3,Pay as you go,active,30,27.92,True
79,79,4,0,38,1,1728,28,5,8,4,Pay as you go,active,45,56.4,False
80,80,6,0,35,2,6845,100,19,24,5,Pay as you go,active,55,132.675,False
81,81,3,0,38,1,688,10,14,6,4,Pay as you go,active,45,52.45,True
82,82,3,0,38,2,398,7,9,4,5,Pay as you go,active,55,19.575,False
83,83,28,0,33,4,16135,241,5,82,2,Pay as you go,active,25,759.42,False
84,84,9,1,36,4,7025,119,276,35,3,contractual,active,30,1389.76,False
85,85,5,0,38,1,3778,85,7,30,3,Pay as you go,active,30,182.52,False
86,86,6,0,37,1,1725,47,43,22,3,Pay as you go,active,30,242.88,False
87,87,9,0,38,1,2840,56,180,25,2,Pay as you go,active,25,940.32,False
88,88,7,0,29,2,1375,39,198,13,3,contractual,active,30,848.56,False
89,89,7,0,28,1,1628,42,35,70,4,Pay as you go,active,45,129.25,False
90,90,14,0,29,1,760,28,15,9,3,Pay as you go,active,30,91.52,False
91,91,3,0,28,1,885,13,26,5,4,Pay as you go,active,45,87.45,False
92,92,13,0,27,1,1285,35,24,15,2,Pay as you go,active,25,167.4,False
93,93,5,0,27,1,3285,64,13,25,3,Pay as you go,active,30,185.96,False
94,94,5,0,20,1,1755,29,33,16,2,Pay as you go,active,25,228.78,False
95,95,19,0,19,2,6453,144,90,44,2,contractual,active,25,701.865,False
96,96,15,0,17,1,8993,174,78,42,5,Pay as you go,active,55,254.505,False
97,97,11,0,18,4,2913,48,36,21,3,Pay as you go,active,30,262.44,False
98,98,5,0,11,2,4450,43,220,12,3,Pay as you go,active,30,1059.72,False
99,99,6,1,11,2,1548,22,5,9,3,Pay as you go,active,30,82.8,True
100,100,5,0,36,0,4310,68,0,15,2,Pay as you go,active,25,197.01,False
101,101,0,0,37,0,258,2,2,2,2,Pay as you go,non-active,25,20.7,False
102,102,7,0,35,0,2393,57,354,22,2,Pay as you go,active,25,1703.25,False
103,103,7,0,36,0,4138,63,0,33,1,Pay as you go,active,15,231.055,False
104,104,0,0,36,0,2333,55,0,31,1,Pay as you go,active,15,131.34,False
105,105,8,0,36,0,3715,79,27,26,3,Pay as you go,active,30,259.76,False
106,106,1,0,36,0,2300,36,280,16,3,Pay as you go,active,30,1213.44,False
107,107,10,0,35,1,9055,118,139,41,3,Pay as you go,active,30,922.92,False
108,108,4,0,36,0,13713,166,0,42,3,Pay as you go,active,30,555.16,False
109,109,4,0,36,0,4455,80,0,23,3,Pay as you go,active,30,181.4,False
110,110,3,0,36,0,5858,92,2,10,2,Pay as you go,active,25,276.75,False
111,111,6,1,36,0,2178,51,3,15,3,Pay as you go,non-active,30,101.16,False
112,112,22,0,36,2,15080,222,49,30,3,Pay as you go,active,30,808.08,False
113,113,1,0,36,0,3035,24,478,6,3,Pay as you go,active,30,2034.36,False
114,114,6,0,35,0,15425,179,145,28,2,Pay as you go,active,25,1354.68,False
115,115,0,0,35,0,6440,83,181,24,3,Pay as you go,active,30,984.92,False
116,116,0,0,35,0,815,11,0,9,2,Pay as you go,non-active,25,37.17,False
117,117,0,0,36,0,650,11,8,6,2,Pay as you go,non-active,25,65.745,False
118,118,0,0,35,0,0,0,0,0,2,Pay as you go,non-active,25,0.0,True
119,119,0,0,35,0,7448,124,379,41,2,Pay as you go,active,25,2046.24,False
120,120,4,0,35,0,11405,151,6,45,3,Pay as you go,active,30,486.24,False
121,121,5,0,35,0,6658,72,103,35,2,Pay as you go,active,25,766.35,False
122,122,20,0,31,0,895,44,11,15,2,Pay as you go,non-active,25,91.755,True
123,123,18,0,34,7,10375,90,0,40,4,Pay as you go,active,45,261.625,False
124,124,10,0,34,0,5758,95,21,22,2,Pay as you go,active,25,357.885,True
125,125,0,0,32,0,2780,19,0,12,3,Pay as you go,active,30,111.96,False
126,126,6,0,33,0,2930,38,4,14,2,Pay as you go,non-active,25,151.56,True
127,127,6,1,34,0,2208,41,29,29,3,Pay as you go,non-active,30,205.96,True
128,128,0,1,34,0,0,0,0,0,3,Pay as you go,non-active,30,0.0,True
129,129,0,0,34,0,1608,22,0,4,3,Pay as you go,active,30,65.2,False
130,130,0,0,31,0,6725,94,9,20,4,Pay as you go,active,45,192.975,False
131,131,0,0,34,0,568,4,4,2,4,Pay as you go,non-active,45,24.3,True
132,132,0,0,34,0,0,0,0,0,5,Pay as you go,active,55,0.0,False
133,133,22,0,29,2,16015,235,0,78,2,Pay as you go,active,25,731.25,False
134,134,3,0,32,2,6905,113,266,31,2,contractual,active,25,1512.81,False
135,135,0,0,34,0,3658,79,0,26,2,Pay as you go,active,25,168.165,False
136,136,0,0,33,0,1605,41,33,18,3,Pay as you go,non-active,30,197.84,False
137,137,3,0,34,0,2720,50,170,21,2,Pay as you go,active,25,889.65,False
138,138,1,0,25,0,1255,33,188,9,2,contractual,active,25,903.96,False
139,139,1,0,24,0,1508,36,25,66,4,Pay as you go,active,45,101.1,False
140,140,8,0,25,0,640,22,5,5,2,Pay as you go,non-active,25,52.29,False
141,141,0,1,24,0,765,7,16,1,4,Pay as you go,non-active,45,59.3,True
142,142,7,0,23,0,1165,29,14,11,2,Pay as you go,active,25,116.73,False
143,143,0,0,23,0,3165,58,3,21,3,Pay as you go,active,30,140.92,False
144,144,0,0,16,0,1635,23,23,12,2,Pay as you go,active,25,178.11,False
145,145,13,0,15,0,6333,138,80,40,1,contractual,active,15,795.905,False
146,146,9,0,13,0,8873,168,68,38,4,Pay as you go,active,45,396.025,False
147,147,5,0,14,2,2793,42,26,17,3,Pay as you go,active,30,217.4,False
148,148,0,0,7,0,4330,37,210,8,3,Pay as you go,active,30,1014.68,False
149,149,0,0,7,0,1428,16,0,5,3,Pay as you go,active,30,57.76,True
150,150,9,0,42,1,4450,73,15,21,3,Pay as you go,active,30,240.92,False
151,151,1,1,43,0,398,7,17,8,3,Pay as you go,non-active,30,84.2,True
152,152,11,0,41,1,2533,62,369,28,3,Pay as you go,active,30,1579.8,False
153,153,11,0,42,1,4278,68,11,39,1,Pay as you go,active,15,299.53,False
154,154,4,0,42,1,2473,60,12,37,2,Pay as you go,active,25,167.985,False
155,155,12,0,42,2,3855,84,42,32,3,Pay as you go,active,30,325.56,False
156,156,5,0,42,1,2440,41,295,22,3,Pay as you go,active,30,1279.24,False
157,157,14,0,41,3,9195,123,154,47,3,Pay as you go,active,30,988.72,False
158,158,8,0,42,1,13853,171,10,48,3,Pay as you go,active,30,600.96,False
159,159,8,0,42,2,4595,85,12,29,3,Pay as you go,active,30,235.2,False
160,160,7,0,42,1,5998,97,17,16,3,Pay as you go,active,30,311.8,False
161,161,10,0,42,0,2318,56,18,21,3,Pay as you go,non-active,30,166.96,False
162,162,26,0,42,4,15220,227,64,36,3,contractual,active,30,873.88,False
163,163,5,0,42,2,3175,29,493,12,3,Pay as you go,active,30,2100.16,False
164,164,10,0,41,1,15565,184,160,34,2,Pay as you go,active,25,1428.705,False
165,165,4,0,41,2,6580,88,196,30,3,Pay as you go,active,30,1050.72,False
166,166,1,0,41,0,955,16,10,15,2,Pay as you go,non-active,25,88.695,False
167,167,3,0,42,0,790,16,23,12,3,Pay as you go,non-active,30,124.24,False
168,168,1,0,41,0,80,2,10,4,2,Pay as you go,non-active,25,48.69,True
169,169,4,0,41,1,7588,129,394,47,3,Pay as you go,active,30,1884.68,False
170,170,8,0,41,2,11545,156,21,51,4,Pay as you go,active,45,345.025,False
171,171,9,0,41,2,6798,77,118,41,2,Pay as you go,active,25,840.375,False
172,172,24,1,37,0,1035,49,26,21,3,Pay as you go,non-active,30,147.36,True
173,173,22,1,40,9,10515,95,11,46,5,Pay as you go,active,55,175.65,False
174,174,14,0,40,2,5898,100,36,28,2,Pay as you go,active,25,431.91,True
175,175,2,0,38,1,2920,24,10,18,3,Pay as you go,active,30,157.76,False
176,176,10,0,39,0,3070,43,19,20,3,Pay as you go,non-active,30,200.52,True
177,177,10,1,40,0,2348,46,44,35,3,Pay as you go,non-active,30,271.76,True
178,178,1,0,40,0,213,4,10,6,3,Pay as you go,non-active,30,48.68,True
179,179,2,0,40,1,1748,27,10,10,4,Pay as you go,active,45,69.375,False
180,180,4,0,37,2,6865,99,24,26,5,Pay as you go,active,55,140.46,False
181,181,1,1,40,0,708,9,19,8,4,Pay as you go,non-active,45,65.425,True
182,182,1,0,40,2,418,6,14,6,5,Pay as you go,active,55,27.36,False
183,183,26,0,35,4,16155,240,10,84,2,Pay as you go,active,25,782.775,False
184,184,7,1,38,4,7045,118,281,37,2,contractual,active,25,1586.835,False
185,185,3,0,40,1,3798,84,12,32,3,Pay as you go,active,30,203.28,False
186,186,4,0,39,0,1745,46,48,24,3,Pay as you go,non-active,30,263.64,False
187,187,7,0,40,1,2860,55,185,27,2,Pay as you go,active,25,963.675,False
188,188,5,0,31,2,1395,38,203,15,2,contractual,active,25,977.985,False
189,189,5,0,30,1,1648,41,40,72,4,Pay as you go,active,45,142.225,False
190,190,12,0,31,0,780,27,20,11,3,Pay as you go,non-active,30,112.28,False
191,191,1,0,30,0,905,12,31,7,4,Pay as you go,non-active,45,100.425,False
192,192,11,0,29,1,1305,34,29,17,2,Pay as you go,active,25,190.755,False
193,193,3,0,29,1,3305,63,18,27,3,Pay as you go,active,30,206.72,False
194,194,3,0,22,1,1775,28,38,18,2,Pay as you go,active,25,252.135,False
195,195,17,0,21,2,6473,143,95,46,2,contractual,active,25,725.22,False
196,196,13,0,19,1,9013,173,83,44,5,Pay as you go,active,55,262.29,False
197,197,9,0,20,4,2933,47,41,23,3,Pay as you go,active,30,283.2,False
198,198,3,0,13,2,4470,42,225,14,3,Pay as you go,active,30,1080.48,False
199,199,4,0,13,2,1568,21,10,11,3,Pay as you go,active,30,103.56,True
200,200,7,0,34,0,4290,69,0,13,2,Pay as you go,active,25,196.155,False
201,201,0,0,35,0,0,0,0,0,2,Pay as you go,non-active,25,0.0,False
202,202,9,0,33,0,2373,58,349,20,2,Pay as you go,active,25,1679.895,False
203,203,9,0,34,0,4118,64,0,31,1,Pay as you go,active,15,230.01,False
204,204,2,0,34,0,2313,56,0,29,1,Pay as you go,active,15,130.295,False
205,205,10,0,34,0,3695,80,22,24,3,Pay as you go,active,30,239.0,False
206,206,3,0,34,0,2280,37,275,14,3,Pay as you go,active,30,1192.68,False
207,207,12,0,33,1,9035,119,134,39,3,Pay as you go,active,30,902.16,False
208,208,6,0,34,0,13693,167,0,40,3,Pay as you go,active,30,554.4,False
209,209,6,0,34,0,4435,81,0,21,3,Pay as you go,active,30,180.64,False
210,210,5,0,34,0,5838,93,0,8,2,Pay as you go,active,25,266.895,False
211,211,8,0,34,0,2158,52,0,13,3,Pay as you go,non-active,30,88.4,False
212,212,24,0,34,2,15060,223,44,28,3,Pay as you go,active,30,787.32,False
213,213,3,0,34,0,3015,25,473,4,3,Pay as you go,active,30,2013.6,False
214,214,8,0,33,0,15405,180,140,26,2,Pay as you go,active,25,1331.325,False
215,215,2,0,33,0,6420,84,176,22,3,Pay as you go,active,30,964.16,False
216,216,0,0,33,0,795,12,0,7,2,Pay as you go,non-active,25,36.315,False
217,217,1,0,34,0,630,12,3,4,2,Pay as you go,non-active,25,42.39,False
218,218,0,0,33,0,0,0,0,0,2,Pay as you go,non-active,25,0.0,True
219,219,2,0,33,0,7428,125,374,39,2,Pay as you go,active,25,2022.885,False
220,220,6,0,33,0,11385,152,1,43,3,Pay as you go,active,30,465.48,False
221,221,7,0,33,0,6638,73,98,33,2,Pay as you go,active,25,742.995,False
222,222,22,0,29,0,875,45,6,13,2,Pay as you go,non-active,25,68.4,True
223,223,20,0,32,7,10355,91,0,38,4,Pay as you go,active,45,261.15,False
224,224,12,1,32,0,5738,96,16,20,2,Pay as you go,active,25,334.53,True
225,225,0,0,30,0,2760,20,0,10,3,Pay as you go,active,30,111.2,False
226,226,8,1,31,0,2910,39,0,12,3,Pay as you go,non-active,30,117.96,True
227,227,8,0,32,0,2188,42,24,27,3,Pay as you go,non-active,30,185.2,True
228,228,0,1,32,0,0,0,0,0,3,Pay as you go,non-active,30,0.0,True
229,229,0,0,32,0,1588,23,0,2,3,Pay as you go,active,30,64.44,False
230,230,2,0,29,0,6705,95,4,18,4,Pay as you go,active,45,180.0,False
231,231,0,0,32,0,0,0,0,0,4,Pay as you go,non-active,45,0.0,True
232,232,0,0,32,0,0,0,0,0,5,Pay as you go,active,55,0.0,False
233,233,24,0,27,2,15995,236,0,76,2,Pay as you go,active,25,730.395,False
234,234,5,0,30,2,6885,114,261,29,2,contractual,active,25,1489.455,False
235,235,1,0,32,0,3638,80,0,24,2,Pay as you go,active,25,167.31,False
236,236,2,0,31,0,1585,42,28,16,3,Pay as you go,non-active,30,177.08,False
237,237,5,0,32,0,2700,51,165,19,2,Pay as you go,active,25,866.295,False
238,238,3,0,23,0,1235,34,183,7,2,contractual,active,25,880.605,False
239,239,3,0,22,0,1488,37,20,64,4,Pay as you go,active,45,88.125,False
240,240,10,0,23,0,620,23,0,3,2,Pay as you go,non-active,25,28.935,False
241,241,0,0,22,0,0,0,11,0,4,Pay as you go,non-active,45,27.5,False
242,242,9,0,21,0,1145,30,9,9,2,Pay as you go,active,25,93.375,False
243,243,1,0,21,0,3145,59,0,19,3,Pay as you go,active,30,128.16,False
244,244,1,0,14,0,1615,24,18,10,2,Pay as you go,active,25,154.755,False
245,245,15,0,13,0,6313,139,75,38,1,contractual,active,15,767.36,False
246,246,11,0,11,0,8853,169,63,36,4,Pay as you go,active,45,383.05,False
247,247,7,0,12,2,2773,43,21,15,3,Pay as you go,active,30,196.64,False
248,248,1,0,5,0,4310,38,205,6,3,Pay as you go,active,30,993.92,False
249,249,2,0,5,0,1408,17,0,3,3,Pay as you go,active,30,57.0,True
250,250,13,0,44,1,4630,81,20,23,3,Pay as you go,active,30,268.44,False
251,251,5,0,45,0,578,15,22,10,3,Pay as you go,non-active,30,111.72,False
252,252,15,0,43,1,2713,70,374,30,3,Pay as you go,active,30,1607.32,False
253,253,15,0,44,1,4458,76,16,41,1,Pay as you go,active,15,337.37,False
254,254,8,0,44,1,2653,68,17,39,2,Pay as you go,active,25,198.945,False
255,255,16,0,44,2,4035,92,47,34,3,Pay as you go,active,30,353.08,False
256,256,9,0,44,1,2620,49,300,24,3,Pay as you go,active,30,1306.76,False
257,257,18,0,43,3,9375,131,159,49,3,Pay as you go,active,30,1016.24,False
258,258,12,0,44,1,14033,179,15,50,3,Pay as you go,active,30,628.48,False
259,259,12,0,44,2,4775,93,17,31,3,Pay as you go,active,30,262.72,False
260,260,11,0,44,1,6178,105,22,18,3,Pay as you go,active,30,339.32,False
261,261,14,1,44,0,2498,64,23,23,3,Pay as you go,non-active,30,194.48,False
262,262,30,0,44,4,15400,235,69,38,3,Pay as you go,active,30,901.4,False
263,263,9,0,44,2,3355,37,498,14,3,Pay as you go,active,30,2127.68,False
264,264,14,0,43,1,15745,192,165,36,2,Pay as you go,active,25,1459.665,False
265,265,8,0,43,2,6760,96,201,32,3,Pay as you go,active,30,1078.24,False
266,266,5,0,43,0,1135,24,15,17,2,Pay as you go,non-active,25,119.655,False
267,267,7,0,44,0,970,24,28,14,3,Pay as you go,non-active,30,151.76,False
268,268,5,0,43,0,260,10,15,6,2,Pay as you go,non-active,25,79.65,True
269,269,8,0,43,1,7768,137,399,49,3,Pay as you go,active,30,1912.2,False
270,270,12,0,43,2,11725,164,26,53,4,Pay as you go,active,45,362.225,False
271,271,13,0,43,2,6978,85,123,43,2,Pay as you go,active,25,871.335,False
272,272,28,1,39,0,1215,57,31,23,3,Pay as you go,non-active,30,174.88,True
273,273,26,0,42,9,10695,103,16,48,5,contractual,active,55,185.97,False
274,274,18,0,42,2,6078,108,41,30,2,Pay as you go,active,25,462.87,False
275,275,6,0,40,1,3100,32,15,20,3,Pay as you go,active,30,185.28,False
276,276,14,1,41,0,3250,51,24,22,3,Pay as you go,non-active,30,228.04,True
277,277,14,1,42,0,2528,54,49,37,4,Pay as you go,non-active,45,187.05,True
278,278,5,0,42,0,393,12,15,8,3,Pay as you go,non-active,30,76.2,True
279,279,6,0,42,1,1928,35,15,12,4,Pay as you go,active,45,86.575,False
280,280,8,0,39,2,7045,107,29,28,5,Pay as you go,active,55,150.78,False
281,281,5,0,42,0,888,17,24,10,4,Pay as you go,non-active,45,82.625,True
282,282,5,0,42,2,598,14,19,8,5,Pay as you go,active,55,37.68,False
283,283,30,1,37,4,16335,248,15,86,2,Pay as you go,active,25,813.735,False
284,284,11,1,40,4,7225,126,286,39,3,contractual,active,30,1438.04,False
285,285,7,0,42,1,3978,92,17,34,3,Pay as you go,active,30,230.8,False
286,286,8,0,41,0,1925,54,53,26,3,Pay as you go,non-active,30,291.16,False
287,287,11,0,42,1,3040,63,190,29,2,Pay as you go,active,25,994.635,False
288,288,9,0,33,2,1575,46,208,17,3,contractual,active,30,896.84,False
289,289,9,0,32,1,1828,49,45,74,5,Pay as you go,active,55,95.655,False
290,290,16,0,33,0,960,35,25,13,3,Pay as you go,non-active,30,139.8,False
291,291,5,0,32,0,1085,20,36,9,4,Pay as you go,non-active,45,117.625,False
292,292,15,0,31,1,1485,42,34,19,2,Pay as you go,active,25,221.715,False
293,293,7,0,31,1,3485,71,23,29,3,Pay as you go,active,30,234.24,False
294,294,7,0,24,1,1955,36,43,20,3,Pay as you go,active,30,251.64,False
295,295,21,0,23,2,6653,151,100,48,2,contractual,active,25,756.18,False
296,296,17,0,21,1,9193,181,88,46,5,Pay as you go,active,55,272.61,False
297,297,13,0,22,4,3113,55,46,25,3,Pay as you go,active,30,310.72,False
298,298,7,0,15,2,4650,50,230,16,3,Pay as you go,active,30,1108.0,False
299,299,8,1,15,2,1748,29,15,13,3,Pay as you go,active,30,131.08,True
300,300,3,0,32,0,4110,61,0,11,2,Pay as you go,active,25,187.695,False
301,301,0,0,33,0,0,0,0,0,2,Pay as you go,non-active,25,0.0,False
302,302,5,0,31,0,2193,50,344,18,2,Pay as you go,active,25,1648.935,False
303,303,5,0,32,0,3938,56,0,29,1,Pay as you go,active,15,219.67,False
304,304,0,0,32,0,2133,48,0,27,1,Pay as you go,active,15,119.955,False
305,305,6,0,32,0,3515,72,17,22,2,Pay as you go,active,25,237.915,False
306,306,0,0,32,0,2100,29,270,12,3,Pay as you go,active,30,1165.16,False
307,307,8,0,31,1,8855,111,129,37,3,Pay as you go,active,30,874.64,False
308,308,2,0,32,0,13513,159,0,38,3,Pay as you go,active,30,546.88,False
309,309,2,0,32,0,4255,73,0,19,3,Pay as you go,active,30,173.12,False
310,310,1,0,32,0,5658,85,0,6,2,Pay as you go,active,25,258.435,False
311,311,4,0,32,0,1978,44,0,11,3,Pay as you go,non-active,30,80.88,False
312,312,20,0,32,2,14880,215,39,26,3,Pay as you go,active,30,759.8,False
313,313,0,0,32,0,2835,17,468,2,3,Pay as you go,active,30,1986.08,False
314,314,4,0,31,0,15225,172,135,24,2,Pay as you go,active,25,1300.365,False
315,315,0,0,31,0,6240,76,171,20,3,Pay as you go,active,30,936.64,False
316,316,0,0,31,0,615,4,0,5,2,Pay as you go,non-active,25,27.855,False
317,317,0,0,32,0,450,4,0,2,2,Pay as you go,non-active,25,20.43,False
318,318,0,0,31,0,0,0,0,0,2,Pay as you go,non-active,25,0.0,True
319,319,0,0,31,0,7248,117,369,37,2,Pay as you go,active,25,1991.925,False
320,320,2,0,31,0,11205,144,0,41,3,Pay as you go,active,30,453.96,False
321,321,3,0,31,0,6458,65,93,31,2,Pay as you go,active,25,712.035,False
322,322,18,1,27,0,695,37,1,11,2,Pay as you go,non-active,25,37.44,True
323,323,16,0,30,7,10175,83,0,36,4,Pay as you go,active,45,256.45,False
324,324,8,1,30,0,5558,88,11,18,2,Pay as you go,active,25,303.57,True
325,325,0,0,28,0,2580,12,0,8,3,Pay as you go,active,30,103.68,False
326,326,4,0,29,0,2730,31,0,10,2,Pay as you go,non-active,25,124.245,True
327,327,4,1,30,0,2008,34,19,25,3,Pay as you go,non-active,30,157.68,True
328,328,0,0,30,0,0,0,0,0,3,Pay as you go,non-active,30,0.0,True
329,329,0,0,30,0,0,0,0,0,3,Pay as you go,active,30,0.0,False
330,330,0,0,27,0,6525,87,0,16,4,Pay as you go,active,45,165.3,False
331,331,0,1,30,0,0,0,0,0,4,Pay as you go,non-active,45,0.0,True
332,332,0,1,30,0,0,0,0,0,5,Pay as you go,active,55,0.0,True
333,333,20,0,25,2,15815,228,0,74,2,Pay as you go,active,25,721.935,False
334,334,1,0,28,2,6705,106,256,27,2,contractual,active,25,1458.495,False
335,335,0,0,30,0,3458,72,0,22,2,Pay as you go,active,25,158.85,False
336,336,0,0,29,0,1405,34,23,14,3,Pay as you go,non-active,30,149.56,False
337,337,1,0,30,0,2520,43,160,17,2,Pay as you go,active,25,835.335,False
338,338,0,0,21,0,1055,26,178,5,2,contractual,active,25,849.645,False
339,339,0,0,20,0,1308,29,15,62,4,Pay as you go,active,45,70.925,False
340,340,6,0,21,0,440,15,0,1,2,Pay as you go,non-active,25,20.475,False
341,341,0,0,20,0,0,0,6,0,4,Pay as you go,non-active,45,15.0,False
342,342,5,0,19,0,965,22,4,7,2,Pay as you go,active,25,62.415,False
343,343,0,0,19,0,2965,51,0,17,3,Pay as you go,active,30,120.64,False
